lab_method_name,lab_csv_header,Element,ExtractionMethod,MeasurementMethod,lab_Unit_of_Measurement_Default,ValueUnits,UCUM_ValueUnits,AlternativeUnits,Modus_Soil_Test,Lab,lab_name
Sulfur,,Sulfur,Mehlich 3 ICP,ICP,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-S-M3.05,Logan Labs,Logan Labs
Calcium,,Calcium,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-CA-M3.05,Logan Labs,Logan Labs
Magnesium,,Magnesium,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-MG-M3.05,Logan Labs,Logan Labs
Potassium,,Potassium,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-K-M3.05,Logan Labs,Logan Labs
Sodium,,Sodium,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-NA-M3.05,Logan Labs,Logan Labs
Boron,,Boron,Mehlich 3 ICP,ICP,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-B-M3.04,Logan Labs,Logan Labs
Iron,,Iron,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-FE-M3.05,Logan Labs,Logan Labs
Mineralizable N (PMN),,Potential Mineralizable Nitrogen,permanganate mineralizable nitrogen ,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm",S-PMN.01.0,MSU - Rabin's Methods,MSU - Rabin's Methods
Mineralizable C (PMC),,,,,,,,,,MSU - Rabin's Methods,MSU - Rabin's Methods
POX-C,,Potential Oxidizable Carbon,permanganate oxidizable carbon ,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm",S-POXC.01.0,MSU - Rabin's Methods,MSU - Rabin's Methods
Free particulate organic matter (F-POM),,,,,,,,,,MSU - Rabin's Methods,MSU - Rabin's Methods
Protected POM (P-POM),,,,,,,,,,MSU - Rabin's Methods,MSU - Rabin's Methods
F-POM N,,,,,,,,,,MSU - Rabin's Methods,MSU - Rabin's Methods
P-POM N,,,,,,,,,,MSU - Rabin's Methods,MSU - Rabin's Methods
Inorganic N (nitrate + ammonium),,Ammonium-Nitrogen,2 M KCl,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-NH4N-2KCL.01,MSU - Rabin's Methods,MSU - Rabin's Methods
pH,,pH,1:1 soil:water ,H+ ISE,,standard units,,"standard units, s.u., none",S-PH-1:1.02.07,MSU - Rabin's Methods,MSU - Rabin's Methods
Bray-1 P,,Phosphorus,Bray P1 (1:10),Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-P-B1-1:10.01.03,MSU - Rabin's Methods,MSU - Rabin's Methods
K,,Potassium,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-K-M3.05,MSU - Rabin's Methods,MSU - Rabin's Methods
Ma,,Magnesium,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-MG-M3.05,MSU - Rabin's Methods,MSU - Rabin's Methods
Ca,,Calcium,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-CA-M3.05,MSU - Rabin's Methods,MSU - Rabin's Methods
Cation exchange capacity (CEC),,Cation Exchange Capacity,Alcohol Prewash/Ammonium Acetate,Calculated,,cmol/kg,cmol/kg,"cmol/kg, meq/100 g",S-CEC.19,MSU - Rabin's Methods,MSU - Rabin's Methods
Total N,,"""Nitrogen, Total""",Combustion Analyzer,Combustion Analyzer,,%,%,"%, g/kg",S-TN.16,MSU - Rabin's Methods,MSU - Rabin's Methods
Soil organic matter (SOM),,Organic Matter,Walkley-Black ,Spectrophotometric,,%,%,"%, g/kg",S-SOM-WB.01.09,MSU - Rabin's Methods,MSU - Rabin's Methods
Bulk density,,Bulk Density,Core,Weight,,g/cm3,g/cm3,g/cm3,S-BD-Core.00,MSU - Rabin's Methods,MSU - Rabin's Methods
Sand,,Sand,Sedimentation,Pipette Method,,%,%,"%, g/kg",S-SAND-SED.11,MSU - Rabin's Methods,MSU - Rabin's Methods
Silt,,Silt,Sedimentation,Pipette Method,,%,%,"%, g/kg",S-SILT-SED.11,MSU - Rabin's Methods,MSU - Rabin's Methods
Clay,,Clay,Sedimentation,Pipette Method,,%,%,"%, g/kg",S-CLAY-SED.11,MSU - Rabin's Methods,MSU - Rabin's Methods
,,,,,,,,,,MSU - Rabin's Methods,MSU - Rabin's Methods
,,Nitrate-Nitrogen,2 M KCl,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-NO3N.2KCL.01,MSU - Rabin's Methods,MSU - Rabin's Methods
,,Phosphorus,Bray P1 (1:10),Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-P-B1-1:10.01.03,MSU - Rabin's Methods,MSU - Rabin's Methods
(Alfalfa) P,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
CEC,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Total Cu,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
SO4,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Eff,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
CEC – Cation Exchange Capacity,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Total Nitrogen,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
SMP Buffer pH – Lime Requirement,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Soluble Salts,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Na – Gypsum Requirement,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Soil Texture Analysis,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Hydrometer Method,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Chloride Analysis,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Electrical Conductivity of Saturation Extract,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Sodiuim Adsorption Ratio of Saturation Extract (SAR),,,,,,,,,,"""Northwood, ND""","Northwood, ND"
CaCO3 Equivalency (Calcium Carbonate),,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Nematode Analysis (with identification),,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Nematode Analysis (without identification),,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Soil Saturtion Paste,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Mn,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Cu,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Fe,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Ca,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Mg,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Na,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
SS,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
H2O,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
B,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Zn,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
OM,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
P,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
NH4,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
S,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
K,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
pH,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
NO3,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Bulk Density,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
Coarse Fragments,,,,,,,,,,"""Northwood, ND""","Northwood, ND"
buffer pH,,,,,,,,,,Ward Labs,Ward Labs
Sum of cations (CEC),,,,,,,,,,Ward Labs,Ward Labs
base saturation %,,Base Saturation,EPA 3050 Digestion Acid Recoverable,Calculated,,%,%,"%, cmol",S-BS.19,Ward Labs,Ward Labs
Phosphorous,,Phosphorus,H3A-1 Extractant,ICP,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-P-H3A1.01.04,Ward Labs,Ward Labs
sodium,,Sodium,H3A-1 Extractant,ICP,,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-NA-H3A1.01.04,Ward Labs,Ward Labs
total bacteria gram (+),,,,,,,,,,Ward Labs,Ward Labs
total bacteria gram (-),,,,,,,,,,Ward Labs,Ward Labs
Total fungi ?,,,,,,,,,,Ward Labs,Ward Labs
Undifferentiated microorganisms,,,,,,,,,,Ward Labs,Ward Labs
extract - ammonium-nitrogen,,Ammonium-Nitrogen,H3A-1 Extractant,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-NH4-H3A1.01.05,Ward Labs,Ward Labs
extract - inorganic nitrogen,,"""Nitrogen, Total""",Combustion Analyzer,Combustion Analyzer,,%,%,"%, g/kg",S-TN.16,Ward Labs,Ward Labs
extract - total phosphorous,,,,,,,,,,Ward Labs,Ward Labs
extract - inorganic phosphorous,,,,,,,,,,Ward Labs,Ward Labs
extract - organic phosphorous,,,,,,,,,,Ward Labs,Ward Labs
Soil Respiration,,CO2 Respiration,CO2 Respiration,Solvita 24 Respiration,,%,%,"%, g/kg",S-CO2-RESP.01,Ward Labs,Ward Labs
Aluminium,,,,,,,,,,Ward Labs,Ward Labs
Excess Lime Rating,,,,,,,,,,Ward Labs,Ward Labs
H2O extract - ammonium-nitrogen ,,Ammonium-Nitrogen,1:1 Water Extraction,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-NH4N-W1:1.01,Ward Labs,Ward Labs
H2O extract - nitrate-nitrogen,,Nitrate-Nitrogen,1:1 Water Extraction,Cd Red/Spectrophotometric,,meq/L,meq/L,"meq/L, mg/L, ppm, mg/kg, lb/ac, kg/ha",S-NO3-W1:1.01.01,Ward Labs,Ward Labs
H2O extract - total nitrogen,,"""Nitrogen, Total""",Water Extraction,Spectrophotometric,,ppm,[ppm],ppm,S-TN-W.01,Ward Labs,Ward Labs
H2O extract - total organic carbon,,"""Organic Carbon, Total""",Combustion Analyzer,Combustion Analyzer,,%,%,"%, g/kg",S-TOC.16,Ward Labs,Ward Labs
H2O extract - total organic nitrogen,,,,,,,,,,Ward Labs,Ward Labs
H2O extract - H3A,,,,,,,,,,Ward Labs,Ward Labs
pH,,pH,1:1 soil:water ,H+ ISE,,standard units,,"standard units, s.u., none",S-PH-1:1.02.07,Ward Labs,Ward Labs
soluble salts,,Soluble Salts,5:1 Water Extraction,Calculated,,ppm,[ppm],"ppm, lb/ac, dS/m, mmhos/cm",S-SS.19,Ward Labs,Ward Labs
organic matter,,Organic Matter,Loss-on-Ignition ,Gravimetric,,%,%,"%, g/kg",S-SOM-LOI.15,Ward Labs,Ward Labs
nitrate-nitrogen,,Nitrate-Nitrogen,H3A-1 Extractant,Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-NO3-H3A1.01.05,Ward Labs,Ward Labs
Potassium,,Potassium,H3A-1 Extractant,ICP,,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-K-H3A1.01.04,Ward Labs,Ward Labs
Calcium,,Calcium,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-CA-M3.05,Ward Labs,Ward Labs
Magnesium,,Magnesium,H3A-1 Extractant,ICP,,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-MG-H3A1.01.04,Ward Labs,Ward Labs
sulfur,,Sulfur,H3A-1 Extractant,ICP,,ppm,[ppm],ppm,S-S-H3A.04,Ward Labs,Ward Labs
zinc,,Zinc,H3A-1 Extractant,ICP,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-ZN-H3A1.01.04,Ward Labs,Ward Labs
iron,,Iron,H3A-1 Extractant,ICP,,ppm,[ppm],ppm,S-FE-H3A.04,Ward Labs,Ward Labs
Manganese,,Manganese,Mehlich 3 ICP,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-MN-M3.05,Ward Labs,Ward Labs
Copper,,Copper,H3A-1 Extractant,ICP,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-CU-H3A1.01.04,Ward Labs,Ward Labs
